Version,Power (hp),Consumption (l/100 km),Interior,Location,Registration city,Number of doors,Assembly,Source,Model,Body Type,Car documents,Title,Number of seats,Number of Owners,Price,URL,Color,Air Conditioning,Make
,,,,"Bahria Town Phase 8, Rawalpindi",Lahore,,Local,,Civic VTi Oriel Prosmatec,Sedan,Original,Honda Civic VTi Oriel Prosmatec 2015 UG,,2,"Rs 3,850,000",https://www.olx.com.pk/item/honda-civic-vti-oriel-prosmatec-2015-ug-iid-1095183332,White,,Honda
,,,,"Bahria Town Phase 8, Rawalpindi",Lahore,,Local,,Civic VTi Oriel Prosmatec,Sedan,Original,Honda Civic VTi Oriel Prosmatec 2015 UG,,2,"Rs 3,850,000",https://www.olx.com.pk/item/honda-civic-vti-oriel-prosmatec-2015-ug-iid-1095183332,White,,Honda
GLI,,,,"Bahria Town Phase 8, Rawalpindi",Islamabad,,Local,,Corolla GLI,Sedan,Original,Toyota Corolla GLI 2016,4,2,"Rs 3,985,000",https://www.olx.com.pk/item/toyota-corolla-gli-2016-iid-1095143739,Black,,Toyota
GLI,,,,"Bahria Town Phase 8, Rawalpindi",Islamabad,,Local,,Corolla GLI,Sedan,Original,Toyota Corolla GLI 2016,4,2,"Rs 3,985,000",https://www.olx.com.pk/item/toyota-corolla-gli-2016-iid-1095143739,Black,,Toyota
2021,,,,"Bahria Town Phase 8, Rawalpindi",Islamabad,,Local,,Alsvin,Sedan,Original,Changan Alsvin 1.5L DCT Lumiere 2021,5,1,"Rs 3,980,000",https://www.olx.com.pk/item/changan-alsvin-15l-dct-lumiere-2021-iid-1095067739,White,,Changan
2021,,,,"Bahria Town Phase 8, Rawalpindi",Islamabad,,Local,,Alsvin,Sedan,Original,Changan Alsvin 1.5L DCT Lumiere 2021,5,1,"Rs 3,980,000",https://www.olx.com.pk/item/changan-alsvin-15l-dct-lumiere-2021-iid-1095067739,White,,Changan
,,,,"Bahria Town Phase 8, Rawalpindi",Islamabad,,Local,,Civic RS,Sedan,Original,Honda Civic RS 2023,,,"Rs 9,300,000",https://www.olx.com.pk/item/honda-civic-rs-2023-iid-1094954127,Black,,Honda
,,,,"Bahria Town Phase 8, Rawalpindi",Islamabad,,Local,,Civic RS,Sedan,Original,Honda Civic RS 2023,,,"Rs 9,300,000",https://www.olx.com.pk/item/honda-civic-rs-2023-iid-1094954127,Black,,Honda
,,,,"Bahria Town Phase 8, Rawalpindi",,,Local,,City IVTEC,Sedan,Original,Honda City IVTEC 2016,4,,"Rs 3,150,000",https://www.olx.com.pk/item/honda-city-ivtec-2016-iid-1095437933,White,,Honda
,,,,"Bahria Town Phase 8, Rawalpindi",,,Local,,City IVTEC,Sedan,Original,Honda City IVTEC 2016,4,,"Rs 3,150,000",https://www.olx.com.pk/item/honda-city-ivtec-2016-iid-1095437933,White,,Honda
vxr,,,,"Bahria Town Phase 8, Rawalpindi",Islamabad,,Local,,Cultus VXR,Hatchback,Original,Suzuki Cultus VXR 2008,4,5,"Rs 1,225,000",https://www.olx.com.pk/item/suzuki-cultus-vxr-2008-iid-1095431291,White,,Suzuki
vxr,,,,"Bahria Town Phase 8, Rawalpindi",Islamabad,,Local,,Cultus VXR,Hatchback,Original,Suzuki Cultus VXR 2008,4,5,"Rs 1,225,000",https://www.olx.com.pk/item/suzuki-cultus-vxr-2008-iid-1095431291,White,,Suzuki
G grade,,,,"Bahria Town Phase 8, Rawalpindi",Lahore,,Imported,,Prius,Other,Original,Toyota Prius 2011,5,3,"Rs 4,180,000",https://www.olx.com.pk/item/toyota-prius-2011-iid-1095430614,Grey,,Toyota
G grade,,,,"Bahria Town Phase 8, Rawalpindi",Lahore,,Imported,,Prius,Other,Original,Toyota Prius 2011,5,3,"Rs 4,180,000",https://www.olx.com.pk/item/toyota-prius-2011-iid-1095430614,Grey,,Toyota
VTI ORIEL,,,Part Leather,"Bahria Town Phase 8, Rawalpindi",Lahore,4/5,Local,,Civic Oriel,Sedan,Original,Honda Civic Oriel 2000,4,,"Rs 1,585,000",https://www.olx.com.pk/item/honda-civic-oriel-2000-iid-1091241355,Green,A/C manual,Honda
VTI ORIEL,,,Part Leather,"Bahria Town Phase 8, Rawalpindi",Lahore,4/5,Local,,Civic Oriel,Sedan,Original,Honda Civic Oriel 2000,4,,"Rs 1,585,000",https://www.olx.com.pk/item/honda-civic-oriel-2000-iid-1091241355,Green,A/C manual,Honda
family car,,,,"Bahria Town Phase 8, Rawalpindi",Islamabad,,Local,,Alto,Small city car,Original,Suzuki Alto 2022,5,,"Rs 2,550,000",https://www.olx.com.pk/item/suzuki-alto-2022-iid-1095411066,White,,Suzuki
family car,,,,"Bahria Town Phase 8, Rawalpindi",Islamabad,,Local,,Alto,Small city car,Original,Suzuki Alto 2022,5,,"Rs 2,550,000",https://www.olx.com.pk/item/suzuki-alto-2022-iid-1095411066,White,,Suzuki
vxL,,,,"Bahria Town Phase 8, Rawalpindi",Lahore,,Local,,Wagon R,Other,Original,Suzuki Wagon R 2017,4,1,"Rs 2,300,000",https://www.olx.com.pk/item/suzuki-wagon-r-2017-iid-1095393560,Silver,,Suzuki
vxL,,,,"Bahria Town Phase 8, Rawalpindi",Lahore,,Local,,Wagon R,Other,Original,Suzuki Wagon R 2017,4,1,"Rs 2,300,000",https://www.olx.com.pk/item/suzuki-wagon-r-2017-iid-1095393560,Silver,,Suzuki
,,,,"Bahria Town Phase 8, Rawalpindi",Islamabad,,Imported,,Clipper,Van / Bus,Original,Nissan Clipper 2014,5,1,"Rs 1,880,000",https://www.olx.com.pk/item/nissan-clipper-2014-iid-1095387368,Silver,,Nissan
,,,,"Bahria Town Phase 8, Rawalpindi",Islamabad,,Imported,,Clipper,Van / Bus,Original,Nissan Clipper 2014,5,1,"Rs 1,880,000",https://www.olx.com.pk/item/nissan-clipper-2014-iid-1095387368,Silver,,Nissan
,,,,"Bahria Town Phase 8, Rawalpindi",Islamabad,,Local,,Civic Prosmetic,Sedan,Original,Honda Civic Prosmetic 2013,5,,"Rs 4,000,000",https://www.olx.com.pk/item/honda-civic-prosmetic-2013-iid-1095368109,White,,Honda
,,,,"Bahria Town Phase 8, Rawalpindi",Islamabad,,Local,,Civic Prosmetic,Sedan,Original,Honda Civic Prosmetic 2013,5,,"Rs 4,000,000",https://www.olx.com.pk/item/honda-civic-prosmetic-2013-iid-1095368109,White,,Honda
jewela,,,,"Bahria Town Phase 8, Rawalpindi",Islamabad,,Imported,,Vitz,Sedan,Original,Toyota Vitz 2018 Jewela for sale,4,1,"Rs 4,200,000",https://www.olx.com.pk/item/toyota-vitz-2018-jewela-for-sale-iid-1095365543,Silver,,Toyota
jewela,,,,"Bahria Town Phase 8, Rawalpindi",Islamabad,,Imported,,Vitz,Sedan,Original,Toyota Vitz 2018 Jewela for sale,4,1,"Rs 4,200,000",https://www.olx.com.pk/item/toyota-vitz-2018-jewela-for-sale-iid-1095365543,Silver,,Toyota
g turbo,,,,"Bahria Town Phase 8, Rawalpindi",Unregistered,,Imported,,Taft,Other,Original,Daihatsu Taft 2022,5,1,"Rs 4,425,000",https://www.olx.com.pk/item/daihatsu-taft-2022-iid-1095359752,Black,,Daihatsu
g turbo,,,,"Bahria Town Phase 8, Rawalpindi",Unregistered,,Imported,,Taft,Other,Original,Daihatsu Taft 2022,5,1,"Rs 4,425,000",https://www.olx.com.pk/item/daihatsu-taft-2022-iid-1095359752,Black,,Daihatsu
Gled,,,,"Bahria Town Phase 8, Rawalpindi",Islamabad,,Imported,,C-HR,SUV,Original,Toyota C-HR 2017 Gled,4,1,"Rs 9,500,000",https://www.olx.com.pk/item/toyota-c-hr-2017-gled-iid-1095356496,White,,Toyota
Gled,,,,"Bahria Town Phase 8, Rawalpindi",Islamabad,,Imported,,C-HR,SUV,Original,Toyota C-HR 2017 Gled,4,1,"Rs 9,500,000",https://www.olx.com.pk/item/toyota-c-hr-2017-gled-iid-1095356496,White,,Toyota
,,,,"Bahria Town Phase 8, Rawalpindi",Islamabad,,Local,,Mehran VXR,Hatchback,Original,Suzuki Mehran VXR 2017 (B2B),5,1,"Rs 1,600,000",https://www.olx.com.pk/item/suzuki-mehran-vxr-2017-b2b-iid-1095346987,Gold,,Suzuki
,,,,"Bahria Town Phase 8, Rawalpindi",Islamabad,,Local,,Mehran VXR,Hatchback,Original,Suzuki Mehran VXR 2017 (B2B),5,1,"Rs 1,600,000",https://www.olx.com.pk/item/suzuki-mehran-vxr-2017-b2b-iid-1095346987,Gold,,Suzuki
rxi,,,,"Bahria Town Phase 8, Rawalpindi",Islamabad,,Imported,,Liana,Sedan,Original,Suzuki Liana 2006,5,1,"Rs 1,500,000",https://www.olx.com.pk/item/suzuki-liana-2006-iid-1095297237,Beige,,Suzuki
rxi,,,,"Bahria Town Phase 8, Rawalpindi",Islamabad,,Imported,,Liana,Sedan,Original,Suzuki Liana 2006,5,1,"Rs 1,500,000",https://www.olx.com.pk/item/suzuki-liana-2006-iid-1095297237,Beige,,Suzuki
,,,,"Bahria Town Phase 8, Rawalpindi",Lahore,,Local,,Civic VTi Oriel,Sedan,Original,Honda Civic VTi Oriel 2005,5,3,"Rs 1,800,000",https://www.olx.com.pk/item/honda-civic-vti-oriel-2005-iid-1095287966,Black,,Honda
,,,,"Bahria Town Phase 8, Rawalpindi",Lahore,,Local,,Civic VTi Oriel,Sedan,Original,Honda Civic VTi Oriel 2005,5,3,"Rs 1,800,000",https://www.olx.com.pk/item/honda-civic-vti-oriel-2005-iid-1095287966,Black,,Honda
vxr auro 2,,,,"Bahria Town Phase 8, Rawalpindi",Islamabad,,Local,,Mehran VXR,Hatchback,Original,Suzuki Mehran VXR 2015,5,,"Rs 1,260,000",https://www.olx.com.pk/item/suzuki-mehran-vxr-2015-iid-1095286332,White,,Suzuki
vxr auro 2,,,,"Bahria Town Phase 8, Rawalpindi",Islamabad,,Local,,Mehran VXR,Hatchback,Original,Suzuki Mehran VXR 2015,5,,"Rs 1,260,000",https://www.olx.com.pk/item/suzuki-mehran-vxr-2015-iid-1095286332,White,,Suzuki
