Version,Power (hp),Consumption (l/100 km),Interior,Location,Registration city,Number of doors,Assembly,Source,Model,Body Type,Car documents,Title,Number of seats,Number of Owners,Price,URL,Color,Air Conditioning,Make,Year
1743,67.0,15.0,1,110,22,1,1,1,172,7,1,794,5.0,2.0,3850000.0,1383,13,1,15,48
695,67.0,15.0,1,110,14,1,1,1,522,7,1,2324,4.0,2.0,3985000.0,4396,1,1,37,49
329,67.0,15.0,1,110,14,1,1,1,267,7,1,64,5.0,1.0,3980000.0,64,13,1,5,54
1743,67.0,15.0,1,110,14,1,1,1,158,7,1,700,5.0,2.0,9300000.0,1229,1,1,15,56
1743,67.0,15.0,1,110,22,1,1,1,137,7,1,546,4.0,2.0,3150000.0,874,13,1,15,49
1743,67.0,15.0,1,110,14,1,1,1,411,2,1,1640,4.0,5.0,1225000.0,2813,13,1,35,41
677,67.0,15.0,1,110,22,1,0,1,570,4,1,2580,5.0,3.0,4180000.0,4829,7,1,37,44
1126,67.0,15.0,3,110,22,1,1,1,152,7,1,646,4.0,2.0,1585000.0,1103,6,0,15,33
1404,67.0,15.0,1,110,14,1,1,1,380,8,1,1420,5.0,2.0,2550000.0,2363,13,1,35,55
1737,67.0,15.0,1,110,22,1,1,1,457,4,1,2036,4.0,1.0,2300000.0,3840,12,1,35,50
1743,67.0,15.0,1,110,14,1,0,1,317,10,1,1210,5.0,1.0,1880000.0,1946,12,1,28,47
1743,67.0,15.0,1,110,14,1,1,1,155,7,1,689,5.0,2.0,4000000.0,1197,13,1,15,46
1525,67.0,15.0,1,110,14,1,0,1,593,7,1,2692,4.0,1.0,4200000.0,5003,12,1,37,51
1436,67.0,15.0,1,110,46,1,0,1,79,4,1,294,5.0,1.0,4425000.0,434,1,1,10,55
719,67.0,15.0,1,110,14,1,0,1,506,6,1,2181,4.0,1.0,9500000.0,4091,13,1,37,50
1743,67.0,15.0,1,110,14,1,1,1,439,2,1,1937,5.0,1.0,1600000.0,3611,5,1,35,50
1630,67.0,15.0,1,110,14,1,0,1,429,7,1,1774,5.0,1.0,1500000.0,3160,0,1,35,39
1743,67.0,15.0,1,110,22,1,1,1,171,7,1,754,5.0,3.0,1800000.0,1300,1,1,15,38
1745,67.0,15.0,1,110,14,1,1,1,439,2,1,1929,5.0,2.0,1260000.0,3585,13,1,35,48
965,67.0,15.0,1,110,14,1,1,1,172,7,1,791,5.0,2.0,3700000.0,1371,0,1,15,47
74,67.0,15.0,1,110,14,1,1,1,522,7,1,2338,4.0,2.0,4350000.0,4448,13,1,37,51
1323,67.0,15.0,1,110,22,1,0,1,229,2,1,970,5.0,2.0,1250000.0,1621,2,1,16,38
1531,67.0,15.0,1,110,18,1,1,1,404,2,1,1568,5.0,2.0,1425000.0,2589,13,1,35,48
1137,67.0,15.0,1,217,22,1,1,1,436,2,1,1856,5.0,2.0,825000.0,3361,12,1,35,44
135,67.0,15.0,1,217,14,1,1,1,152,7,1,663,5.0,1.0,5200000.0,1143,13,1,15,51
1743,67.0,15.0,1,217,22,1,0,1,59,8,1,157,4.0,2.0,450000.0,179,13,1,10,19
975,67.0,15.0,1,217,35,1,1,1,123,6,1,419,7.0,2.0,4850000.0,570,1,2,15,54
1781,67.0,15.0,1,217,22,1,0,1,212,6,1,922,2.0,1.0,4950000.0,1563,13,1,15,48
